County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",Recent 5-Year Trend in Death Rates
Alpena County,87,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,180.2 ,180.2 
Calhoun County,278,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,180.1 ,180.1 
Hillsdale County,114,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,179.6 ,179.6 
Crawford County,44,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,178.8 ,178.8 
Mecosta County,96,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,178.4 ,178.4 
Osceola County,62,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,178.2 ,178.2 
Gratiot County,88,stable,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,177.2 ,177.2 
St. Joseph County,135,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,176.9 ,176.9 
Muskegon County,338,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,176.3 ,176.3 
Bay County,258,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,175.8 ,175.8 
Lapeer County,198,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.4 ,174.4 
Delta County,106,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.2 ,174.2 
Arenac County,45,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.0 ,174.0 
Oceana County,65,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.0 ,174.0 
Tuscola County,133,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.7 ,173.7 
Wexford County,80,stable,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.4 ,173.4 
Cass County,123,stable,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.2 ,173.2 
Van Buren County,155,stable,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.0 ,173.0 
Oscoda County,26,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,172.8 ,172.8 
Newaygo County,112,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,172.7 ,172.7 
Monroe County,333,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,172.6 ,172.6 
Ionia County,120,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,172.1 ,172.1 
Lenawee County,216,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,171.6 ,171.6 
Houghton County,77,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,171.3 ,171.3 
Iosco County,86,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,171.2 ,171.2 
Shiawassee County,156,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.4 ,170.4 
Genesee County,736,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.2 ,170.2 
St. Clair County,363,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.0 ,170.0 
Baraga County,20,stable,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.0 ,170.0 
Montcalm County,139,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,169.9 ,169.9 
Chippewa County,73,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.6 ,168.6 
Wayne County,2073,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.4 ,168.4 
Huron County,94,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.2 ,168.2 
Macomb County,1713,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.0 ,168.0 
Mackinac County,30,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.8 ,167.8 
Allegan County,228,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.4 ,167.4 
Emmet County,86,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,166.1 ,166.1 
Cheboygan County,76,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,165.8 ,165.8 
Otsego County,58,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.9 ,163.9 
Menominee County,66,stable,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.0 ,163.0 
Ontonagon County,23,stable,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,162.4 ,162.4 
Berrien County,318,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,161.3 ,161.3 
Ingham County,394,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,161.2 ,161.2 
Presque Isle County,42,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.8 ,160.8 
Eaton County,216,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.5 ,160.5 
Iron County,38,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,159.0 ,159.0 
Mason County,74,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.5 ,158.5 
Marquette County,139,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,156.2 ,156.2 
Isabella County,96,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,155.6 ,155.6 
Charlevoix County,66,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,155.3 ,155.3 
Barry County,125,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,154.7 ,154.7 
Saginaw County,338,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,154.6 ,154.6 
Gogebic County,42,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,154.4 ,154.4 
Antrim County,65,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,154.1 ,154.1 
Dickinson County,64,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,152.0 ,152.0 
Kalamazoo County,393,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,149.4 ,149.4 
Kent County,889,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,147.6 ,147.6 
Livingston County,345,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,146.8 ,146.8 
Midland County,161,stable,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,145.3 ,145.3 
Oakland County,1871,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,144.3 ,144.3 
Clinton County,133,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,142.5 ,142.5 
Missaukee County,32,stable,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,141.8 ,141.8 
Washtenaw County,438,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,141.1 ,141.1 
Benzie County,42,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,139.0 ,139.0 
Grand Traverse County,180,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,137.8 ,137.8 
Ottawa County,409,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,135.0 ,135.0 
Leelanau County,52,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,123.2 ,123.2 
Keweenaw County,6,falling,Michigan,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,120.3 ,120.3 
Lenawee County,5,*,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,301.2 ,301.2 
Jackson County,25,stable,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,260.8 ,260.8 
St. Clair County,10,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,243.5 ,243.5 
Monroe County,9,stable,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,240.9 ,240.9 
Van Buren County,9,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,233.5 ,233.5 
Berrien County,47,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,216.2 ,216.2 
Macomb County,150,stable,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,209.8 ,209.8 
Genesee County,178,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,200.4 ,200.4 
Calhoun County,32,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,199.5 ,199.5 
St. Joseph County,3,*,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,199.5 ,199.5 
Lake County,4,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,198.0 ,198.0 
Saginaw County,76,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,195.4 ,195.4 
Wayne County,1459,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,193.6 ,193.6 
Muskegon County,43,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,191.7 ,191.7 
Washtenaw County,70,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,182.5 ,182.5 
Eaton County,12,*,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,178.8 ,178.8 
Kent County,86,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,177.6 ,177.6 
Kalamazoo County,40,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,175.0 ,175.0 
Ingham County,48,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,174.8 ,174.8 
Cass County,7,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,170.1 ,170.1 
Oakland County,330,falling,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,161.0 ,161.0 
Ottawa County,4,*,Michigan,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,160.6 ,160.6 
Isabella County,4,*,Michigan,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,449.0 ,449.0 
Baraga County,4,*,Michigan,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,335.4 ,335.4 
Mackinac County,7,stable,Michigan,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,279.8 ,279.8 
Chippewa County,13,stable,Michigan,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,237.3 ,237.3 
Muskegon County,3,*,Michigan,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,193.1 ,193.1 
Kent County,4,stable,Michigan,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,170.6 ,170.6 
Macomb County,4,stable,Michigan,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,149.8 ,149.8 
Wayne County,12,falling,Michigan,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,125.4 ,125.4 
Ottawa County,8,*,Michigan,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,154.7 ,154.7 
Macomb County,30,falling,Michigan,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,102.0 ,102.0 
Ingham County,7,stable,Michigan,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,83.2 ,83.2 
Kent County,11,*,Michigan,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,77.8 ,77.8 
Wayne County,39,falling,Michigan,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,76.3 ,76.3 
Oakland County,51,falling,Michigan,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,70.8 ,70.8 
Washtenaw County,14,falling,Michigan,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,63.3 ,63.3 
Genesee County,3,*,Michigan,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,56.6 ,56.6 
St. Clair County,5,*,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,183.3 ,183.3 
Muskegon County,8,*,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,170.8 ,170.8 
Jackson County,6,*,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,169.8 ,169.8 
Saginaw County,19,stable,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,146.5 ,146.5 
Van Buren County,5,*,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,143.3 ,143.3 
Lenawee County,8,stable,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,143.3 ,143.3 
Kalamazoo County,7,falling,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,141.8 ,141.8 
Bay County,5,stable,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,134.5 ,134.5 
Wayne County,77,stable,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,134.1 ,134.1 
Macomb County,18,stable,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,133.7 ,133.7 
Genesee County,11,stable,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,132.7 ,132.7 
Monroe County,4,*,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,132.6 ,132.6 
Livingston County,3,*,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,128.7 ,128.7 
Oakland County,31,falling,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,115.4 ,115.4 
Calhoun County,4,*,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,112.8 ,112.8 
Ottawa County,14,stable,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,111.8 ,111.8 
Ingham County,13,stable,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,105.5 ,105.5 
Allegan County,4,*,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,105.4 ,105.4 
Kent County,29,stable,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,102.2 ,102.2 
Berrien County,4,*,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,99.9 ,99.9 
Eaton County,4,*,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,93.5 ,93.5 
Washtenaw County,5,*,Michigan,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,66.7 ,66.7 
Mille Lacs County,63,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,187.7 ,187.7 
Wadena County,40,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,187.3 ,187.3 
Wilkin County,17,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.3 ,186.3 
Chippewa County,35,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,178.1 ,178.1 
Sibley County,37,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,175.8 ,175.8 
Faribault County,40,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.6 ,172.6 
Martin County,59,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.4 ,172.4 
Itasca County,123,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.0 ,172.0 
Lincoln County,18,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,170.3 ,170.3 
Polk County,74,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,169.7 ,169.7 
Red Lake County,9,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.6 ,167.6 
Pine County,73,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,165.9 ,165.9 
Rock County,24,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,163.5 ,163.5 
Le Sueur County,60,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,163.0 ,163.0 
St. Louis County,449,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,161.3 ,161.3 
Koochiching County,36,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,161.0 ,161.0 
Brown County,66,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,159.6 ,159.6 
Aitkin County,55,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,159.5 ,159.5 
Douglas County,96,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,159.2 ,159.2 
Hubbard County,56,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,158.8 ,158.8 
Pipestone County,24,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,158.5 ,158.5 
Crow Wing County,160,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,158.2 ,158.2 
Mower County,89,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.7 ,157.7 
Big Stone County,16,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.7 ,157.7 
Cass County,75,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.2 ,157.2 
Clearwater County,19,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.2 ,157.2 
Swift County,24,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.2 ,157.2 
Isanti County,75,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.9 ,156.9 
Lyon County,50,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.8 ,156.8 
Norman County,17,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.8 ,156.8 
Morrison County,76,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.6 ,156.6 
Carlton County,72,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.6 ,156.6 
Goodhue County,108,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.6 ,156.6 
Freeborn County,78,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.5 ,156.5 
Renville County,37,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.4 ,156.4 
Meeker County,54,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.4 ,156.4 
Winona County,98,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,155.9 ,155.9 
Dodge County,36,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,155.5 ,155.5 
Nobles County,41,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,155.3 ,155.3 
Chisago County,100,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,154.5 ,154.5 
Sherburne County,127,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,153.3 ,153.3 
Traverse County,11,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,153.0 ,153.0 
Jackson County,25,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.2 ,152.2 
Anoka County,540,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.2 ,152.2 
Fillmore County,50,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.0 ,152.0 
Clay County,99,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,151.8 ,151.8 
Mahnomen County,8,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,151.5 ,151.5 
Cottonwood County,30,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,151.3 ,151.3 
Yellow Medicine County,23,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,150.9 ,150.9 
Cook County,13,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,150.6 ,150.6 
Wright County,195,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,150.4 ,150.4 
Benton County,67,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,148.9 ,148.9 
Wabasha County,51,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,148.2 ,148.2 
Watonwan County,24,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,148.1 ,148.1 
Pennington County,29,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,147.6 ,147.6 
Kandiyohi County,85,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,147.5 ,147.5 
Waseca County,37,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,147.1 ,147.1 
Ramsey County,779,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,147.0 ,147.0 
Stearns County,256,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,146.2 ,146.2 
Washington County,397,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,146.1 ,146.1 
Lake County,29,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,145.7 ,145.7 
Grant County,14,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,145.4 ,145.4 
Rice County,110,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,145.0 ,145.0 
Scott County,166,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,143.4 ,143.4 
Beltrami County,70,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,143.2 ,143.2 
Blue Earth County,101,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,142.5 ,142.5 
Kittson County,11,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,141.9 ,141.9 
Becker County,69,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,141.9 ,141.9 
Nicollet County,58,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,141.8 ,141.8 
Lac qui Parle County,18,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,141.3 ,141.3 
Otter Tail County,141,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,140.7 ,140.7 
Dakota County,598,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,139.2 ,139.2 
McLeod County,70,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,139.2 ,139.2 
Hennepin County,1668,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,137.6 ,137.6 
Kanabec County,33,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,137.5 ,137.5 
Marshall County,21,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,136.0 ,136.0 
Murray County,20,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,134.4 ,134.4 
Steele County,65,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,134.0 ,134.0 
Redwood County,32,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,132.8 ,132.8 
Pope County,24,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,131.6 ,131.6 
Stevens County,16,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,131.5 ,131.5 
Houston County,39,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,131.1 ,131.1 
Todd County,50,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,131.0 ,131.0 
Carver County,122,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,127.8 ,127.8 
Lake of the Woods County,8,stable,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,127.4 ,127.4 
Olmsted County,218,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,125.0 ,125.0 
Roseau County,25,falling,Minnesota ,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,123.2 ,123.2 
Ramsey County,22,*,Minnesota ,All Cancer Sites,  White Hispanic,All Sexes,All Ages,155.2 ,155.2 
Hennepin County,30,stable,Minnesota ,All Cancer Sites,  White Hispanic,All Sexes,All Ages,130.9 ,130.9 
Washington County,5,*,Minnesota ,All Cancer Sites,  White Hispanic,All Sexes,All Ages,106.6 ,106.6 
Anoka County,6,*,Minnesota ,All Cancer Sites,  White Hispanic,All Sexes,All Ages,96.3 ,96.3 
Dakota County,11,*,Minnesota ,All Cancer Sites,  White Hispanic,All Sexes,All Ages,92.6 ,92.6 
Mille Lacs County,63,stable,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,189.2 ,189.2 
Wadena County,40,stable,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,188.5 ,188.5 
Wilkin County,17,stable,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,187.5 ,187.5 
Chippewa County,34,stable,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,177.3 ,177.3 
Faribault County,40,stable,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,176.2 ,176.2 
Itasca County,123,falling,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,172.6 ,172.6 
Lincoln County,18,stable,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,171.3 ,171.3 
Martin County,58,stable,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,171.0 ,171.0 
Sibley County,35,stable,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,169.9 ,169.9 
Polk County,72,stable,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.9 ,168.9 
Pine County,72,falling,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,166.3 ,166.3 
Le Sueur County,60,falling,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,164.7 ,164.7 
Rock County,24,stable,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,164.3 ,164.3 
Nobles County,40,stable,Minnesota ,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.1 ,163.1 
