Average Annual Count,Recent Trend,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",Recent 5-Year Trend in Death Rates,County_State
31,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.7 ,171.7 ,"St. Clair County, MO"
31,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.3 ,173.3 ,"St. Clair County, MO"
41,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,170.9 ,170.9 ,"Dent County, MO"
41,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,171.7 ,171.7 ,"Dent County, MO"
78,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,170.2 ,170.2 ,"Lafayette County, MO"
78,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,169.7 ,169.7 ,"Lafayette County, MO"
27,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,169.9 ,169.9 ,"Ralls County, MO"
27,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.6 ,170.6 ,"Ralls County, MO"
16,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,169.6 ,169.6 ,"Gentry County, MO"
16,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,171.0 ,171.0 ,"Gentry County, MO"
18,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,168.1 ,168.1 ,"Reynolds County, MO"
18,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,169.4 ,169.4 ,"Reynolds County, MO"
24,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.0 ,167.0 ,"Harrison County, MO"
23,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,165.8 ,165.8 ,"Harrison County, MO"
220,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,166.1 ,166.1 ,"Franklin County, MO"
219,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.0 ,167.0 ,"Franklin County, MO"
48,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,166.0 ,166.0 ,"Vernon County, MO"
48,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.3 ,167.3 ,"Vernon County, MO"
20,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,165.2 ,165.2 ,"Daviess County, MO"
20,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,166.2 ,166.2 ,"Daviess County, MO"
43,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,164.8 ,164.8 ,"Perry County, MO"
43,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,166.1 ,166.1 ,"Perry County, MO"
56,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,164.4 ,164.4 ,"Miller County, MO"
56,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,165.2 ,165.2 ,"Miller County, MO"
154,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,164.1 ,164.1 ,"Cape Girardeau County, MO"
154,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,164.4 ,164.4 ,"Cape Girardeau County, MO"
7,falling,Missouri,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,187.9 ,187.9 ,"Cape Girardeau County, MO"
82,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,162.7 ,162.7 ,"Johnson County, MO"
81,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.7 ,163.7 ,"Johnson County, MO"
39,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,162.3 ,162.3 ,"Gasconade County, MO"
39,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.4 ,163.4 ,"Gasconade County, MO"
36,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,162.0 ,162.0 ,"Cooper County, MO"
36,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.4 ,163.4 ,"Cooper County, MO"
208,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,162.0 ,162.0 ,"Cass County, MO"
206,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,162.8 ,162.8 ,"Cass County, MO"
6,*,Missouri,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,176.8 ,176.8 ,"Cass County, MO"
41,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,161.2 ,161.2 ,"Nodaway County, MO"
41,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,162.4 ,162.4 ,"Nodaway County, MO"
397,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,159.9 ,159.9 ,"Clay County, MO"
9,stable,Missouri,All Cancer Sites,  White Hispanic,All Sexes,All Ages,113.0 ,113.0 ,"Clay County, MO"
388,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,161.5 ,161.5 ,"Clay County, MO"
12,falling,Missouri,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,176.9 ,176.9 ,"Clay County, MO"
7,*,Missouri,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,157.2 ,157.2 ,"Clay County, MO"
9,stable,Missouri,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,107.3 ,107.3 ,"Clay County, MO"
546,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,159.3 ,159.3 ,"Greene County, MO"
543,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.4 ,160.4 ,"Greene County, MO"
8,falling,Missouri,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,132.8 ,132.8 ,"Greene County, MO"
5,stable,Missouri,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,110.6 ,110.6 ,"Greene County, MO"
28,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,158.7 ,158.7 ,"Ozark County, MO"
28,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.6 ,160.6 ,"Ozark County, MO"
998,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,158.4 ,158.4 ,"Jackson County, MO"
33,falling,Missouri,All Cancer Sites,  White Hispanic,All Sexes,All Ages,112.4 ,112.4 ,"Jackson County, MO"
963,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.3 ,160.3 ,"Jackson County, MO"
315,falling,Missouri,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,190.8 ,190.8 ,"Jackson County, MO"
13,stable,Missouri,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,104.0 ,104.0 ,"Jackson County, MO"
35,falling,Missouri,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,108.3 ,108.3 ,"Jackson County, MO"
28,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.4 ,157.4 ,"Osage County, MO"
28,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.3 ,158.3 ,"Osage County, MO"
41,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.8 ,156.8 ,"Ste. Genevieve County, MO"
41,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,157.3 ,157.3 ,"Ste. Genevieve County, MO"
36,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.0 ,156.0 ,"Douglas County, MO"
36,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,157.0 ,157.0 ,"Douglas County, MO"
21,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,155.9 ,155.9 ,"Maries County, MO"
21,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,156.7 ,156.7 ,"Maries County, MO"
10,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,155.2 ,155.2 ,"Schuyler County, MO"
10,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,155.7 ,155.7 ,"Schuyler County, MO"
150,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,154.0 ,154.0 ,"Christian County, MO"
149,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,154.4 ,154.4 ,"Christian County, MO"
95,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,153.7 ,153.7 ,"Stone County, MO"
95,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,155.0 ,155.0 ,"Stone County, MO"
13,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,151.9 ,151.9 ,"Atchison County, MO"
13,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,152.7 ,152.7 ,"Atchison County, MO"
68,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,151.9 ,151.9 ,"Warren County, MO"
68,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,154.0 ,154.0 ,"Warren County, MO"
64,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,151.6 ,151.6 ,"Polk County, MO"
63,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,151.4 ,151.4 ,"Polk County, MO"
20,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,150.6 ,150.6 ,"Lewis County, MO"
20,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,151.5 ,151.5 ,"Lewis County, MO"
122,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,150.6 ,150.6 ,"Taney County, MO"
121,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,151.9 ,151.9 ,"Taney County, MO"
15,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,150.4 ,150.4 ,"Shelby County, MO"
15,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,149.5 ,149.5 ,"Shelby County, MO"
127,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,148.6 ,148.6 ,"Camden County, MO"
127,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,149.5 ,149.5 ,"Camden County, MO"
643,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,147.5 ,147.5 ,"St. Charles County, MO"
4,*,Missouri,All Cancer Sites,  White Hispanic,All Sexes,All Ages,86.2 ,86.2 ,"St. Charles County, MO"
638,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,148.3 ,148.3 ,"St. Charles County, MO"
23,falling,Missouri,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,179.7 ,179.7 ,"St. Charles County, MO"
5,*,Missouri,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,94.1 ,94.1 ,"St. Charles County, MO"
5,*,Missouri,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,83.5 ,83.5 ,"St. Charles County, MO"
20,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,147.5 ,147.5 ,"Carroll County, MO"
20,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,146.8 ,146.8 ,"Carroll County, MO"
13,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,146.8 ,146.8 ,"Sullivan County, MO"
12,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,151.2 ,151.2 ,"Sullivan County, MO"
23,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,145.8 ,145.8 ,"Grundy County, MO"
23,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,146.8 ,146.8 ,"Grundy County, MO"
1604,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,145.5 ,145.5 ,"St. Louis County, MO"
12,stable,Missouri,All Cancer Sites,  White Hispanic,All Sexes,All Ages,74.6 ,74.6 ,"St. Louis County, MO"
1592,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,146.3 ,146.3 ,"St. Louis County, MO"
473,falling,Missouri,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,201.0 ,201.0 ,"St. Louis County, MO"
32,falling,Missouri,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,94.9 ,94.9 ,"St. Louis County, MO"
12,stable,Missouri,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,73.6 ,73.6 ,"St. Louis County, MO"
129,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,143.4 ,143.4 ,"Cole County, MO"
128,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,143.4 ,143.4 ,"Cole County, MO"
9,stable,Missouri,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,196.3 ,196.3 ,"Cole County, MO"
148,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,142.2 ,142.2 ,"Platte County, MO"
147,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,144.8 ,144.8 ,"Platte County, MO"
5,*,Missouri,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,107.6 ,107.6 ,"Platte County, MO"
211,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,141.8 ,141.8 ,"Boone County, MO"
210,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,142.6 ,142.6 ,"Boone County, MO"
24,falling,Missouri,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,215.8 ,215.8 ,"Boone County, MO"
27,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,140.9 ,140.9 ,"Moniteau County, MO"
26,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,140.8 ,140.8 ,"Moniteau County, MO"
15,stable,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,136.9 ,136.9 ,"Clark County, MO"
15,stable,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,137.5 ,137.5 ,"Clark County, MO"
16,falling,Missouri,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,127.2 ,127.2 ,"Howard County, MO"
16,falling,Missouri,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,127.7 ,127.7 ,"Howard County, MO"
5,*,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,240.7 ,240.7 ,"Prairie County, MT"
5,*,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,244.3 ,244.3 ,"Prairie County, MT"
33,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,193.1 ,193.1 ,"Custer County, MT"
33,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,195.9 ,195.9 ,"Custer County, MT"
29,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.9 ,182.9 ,"Hill County, MT"
29,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,185.3 ,185.3 ,"Hill County, MT"
6,*,Montana,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,265.1 ,265.1 ,"Hill County, MT"
12,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.9 ,181.9 ,"Toole County, MT"
12,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,184.8 ,184.8 ,"Toole County, MT"
26,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.3 ,181.3 ,"Deer Lodge County, MT"
26,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,181.4 ,181.4 ,"Deer Lodge County, MT"
10,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,169.1 ,169.1 ,"Sheridan County, MT"
10,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.1 ,170.1 ,"Sheridan County, MT"
16,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,166.4 ,166.4 ,"Powell County, MT"
16,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,166.0 ,166.0 ,"Powell County, MT"
14,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,165.4 ,165.4 ,"Musselshell County, MT"
14,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.2 ,168.2 ,"Musselshell County, MT"
59,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,165.1 ,165.1 ,"Lincoln County, MT"
52,rising,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,147.4 ,147.4 ,"Lincoln County, MT"
15,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,164.7 ,164.7 ,"Broadwater County, MT"
15,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.1 ,167.1 ,"Broadwater County, MT"
78,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,162.2 ,162.2 ,"Silver Bow County, MT"
77,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.2 ,163.2 ,"Silver Bow County, MT"
6,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,160.6 ,160.6 ,"Meagher County, MT"
6,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,161.8 ,161.8 ,"Meagher County, MT"
27,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,160.3 ,160.3 ,"Jefferson County, MT"
26,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,161.2 ,161.2 ,"Jefferson County, MT"
13,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,160.0 ,160.0 ,"Rosebud County, MT"
13,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,162.6 ,162.6 ,"Rosebud County, MT"
4,*,Montana,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,180.9 ,180.9 ,"Rosebud County, MT"
13,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,159.2 ,159.2 ,"Mineral County, MT"
13,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,159.5 ,159.5 ,"Mineral County, MT"
35,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.9 ,157.9 ,"Sanders County, MT"
34,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,153.8 ,153.8 ,"Sanders County, MT"
14,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.2 ,157.2 ,"Pondera County, MT"
14,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.0 ,158.0 ,"Pondera County, MT"
5,*,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,155.4 ,155.4 ,"Wheatland County, MT"
5,*,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,157.4 ,157.4 ,"Wheatland County, MT"
19,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,154.8 ,154.8 ,"Richland County, MT"
18,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,155.0 ,155.0 ,"Richland County, MT"
137,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.9 ,152.9 ,"Lewis and Clark County, MT"
136,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,153.9 ,153.9 ,"Lewis and Clark County, MT"
300,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.4 ,152.4 ,"Yellowstone County, MT"
295,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,152.9 ,152.9 ,"Yellowstone County, MT"
9,*,Montana,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,245.8 ,245.8 ,"Yellowstone County, MT"
38,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.3 ,152.3 ,"Park County, MT"
38,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,152.7 ,152.7 ,"Park County, MT"
10,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.0 ,152.0 ,"Glacier County, MT"
10,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,153.5 ,153.5 ,"Glacier County, MT"
14,stable,Montana,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,198.6 ,198.6 ,"Glacier County, MT"
109,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,151.2 ,151.2 ,"Ravalli County, MT"
108,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,152.5 ,152.5 ,"Ravalli County, MT"
5,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,150.7 ,150.7 ,"Daniels County, MT"
5,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,153.1 ,153.1 ,"Daniels County, MT"
162,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,150.2 ,150.2 ,"Cascade County, MT"
161,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,151.1 ,151.1 ,"Cascade County, MT"
10,stable,Montana,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,283.0 ,283.0 ,"Cascade County, MT"
10,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,148.2 ,148.2 ,"Big Horn County, MT"
10,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,149.8 ,149.8 ,"Big Horn County, MT"
11,rising,Montana,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,192.1 ,192.1 ,"Big Horn County, MT"
14,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,144.6 ,144.6 ,"Teton County, MT"
14,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,141.8 ,141.8 ,"Teton County, MT"
21,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,143.8 ,143.8 ,"Stillwater County, MT"
20,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,144.9 ,144.9 ,"Stillwater County, MT"
181,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,143.3 ,143.3 ,"Missoula County, MT"
180,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,144.0 ,144.0 ,"Missoula County, MT"
4,stable,Montana,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,277.1 ,277.1 ,"Missoula County, MT"
189,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,142.9 ,142.9 ,"Flathead County, MT"
188,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,143.8 ,143.8 ,"Flathead County, MT"
20,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,142.4 ,142.4 ,"Beaverhead County, MT"
20,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,144.4 ,144.4 ,"Beaverhead County, MT"
9,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,142.0 ,142.0 ,"Roosevelt County, MT"
9,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,143.2 ,143.2 ,"Roosevelt County, MT"
10,stable,Montana,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,242.8 ,242.8 ,"Roosevelt County, MT"
5,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,141.5 ,141.5 ,"Fallon County, MT"
5,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,142.5 ,142.5 ,"Fallon County, MT"
18,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,137.4 ,137.4 ,"Dawson County, MT"
18,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,138.6 ,138.6 ,"Dawson County, MT"
54,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,133.9 ,133.9 ,"Lake County, MT"
54,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,135.1 ,135.1 ,"Lake County, MT"
12,falling,Montana,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,234.5 ,234.5 ,"Lake County, MT"
9,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,131.1 ,131.1 ,"Phillips County, MT"
9,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,131.8 ,131.8 ,"Phillips County, MT"
5,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,130.5 ,130.5 ,"Judith Basin County, MT"
5,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,132.4 ,132.4 ,"Judith Basin County, MT"
9,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,129.4 ,129.4 ,"Granite County, MT"
9,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,127.3 ,127.3 ,"Granite County, MT"
25,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,129.1 ,129.1 ,"Fergus County, MT"
25,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,130.0 ,130.0 ,"Fergus County, MT"
21,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,128.6 ,128.6 ,"Madison County, MT"
20,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,128.9 ,128.9 ,"Madison County, MT"
4,*,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,127.5 ,127.5 ,"McCone County, MT"
4,*,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,128.5 ,128.5 ,"McCone County, MT"
22,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,120.4 ,120.4 ,"Carbon County, MT"
22,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,121.6 ,121.6 ,"Carbon County, MT"
14,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,116.9 ,116.9 ,"Valley County, MT"
14,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,117.9 ,117.9 ,"Valley County, MT"
113,falling,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,116.8 ,116.8 ,"Gallatin County, MT"
112,falling,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,117.5 ,117.5 ,"Gallatin County, MT"
10,stable,Montana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,115.4 ,115.4 ,"Chouteau County, MT"
10,stable,Montana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,116.0 ,116.0 ,"Chouteau County, MT"
