,County,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate†deaths per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Death Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Borough Or Census Area,Parish
18,Baraga County,***,"212.9 (164.2, 273.4)","17 (1, 83)",14,stable,"-1.0 (-2.0, 0.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
19,Calhoun County,***,"212.3 (197.7, 227.6)","18 (5, 54)",167,falling,"-1.3 (-1.6, -0.9)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
20,Osceola County,***,"212.1 (180.5, 248.1)","19 (1, 76)",35,falling,"-1.0 (-1.7, -0.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
21,Wexford County,***,"211.7 (184.8, 241.8)","20 (2, 74)",47,falling,"-1.0 (-1.6, -0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
22,Sanilac County,***,"211.4 (187.8, 237.4)","21 (3, 69)",63,falling,"-1.4 (-1.9, -0.9)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
23,Bay County,***,"210.1 (194.4, 226.8)","22 (5, 61)",141,falling,"-1.5 (-1.8, -1.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
24,Alcona County,***,"209.0 (173.4, 254.9)","23 (1, 81)",27,falling,"-1.3 (-2.1, -0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
25,Alger County,***,"204.4 (160.6, 259.1)","24 (1, 83)",16,falling,"-1.8 (-2.8, -0.9)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
26,Van Buren County,***,"204.4 (185.6, 224.6)","25 (5, 70)",94,stable,"-7.8 (-19.4, 5.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
27,Alpena County,***,"204.2 (177.7, 234.2)","26 (2, 78)",45,falling,"-1.4 (-2.1, -0.6)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
28,Wayne County,***,"203.4 (199.1, 207.8)","27 (20, 47)",1821,falling,"-2.7 (-3.5, -1.9)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
29,Lenawee County,***,"203.0 (186.7, 220.4)","28 (7, 68)",122,falling,"-1.1 (-1.5, -0.7)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
30,Lapeer County,***,"202.7 (185.1, 221.6)","29 (7, 69)",110,falling,"-1.2 (-1.8, -0.7)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
31,Montcalm County,***,"202.5 (182.6, 224.0)","30 (6, 72)",80,falling,"-1.4 (-1.9, -0.9)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
32,Luce County,***,"201.8 (148.7, 269.9)","31 (1, 83)",10,falling,"-2.1 (-3.5, -0.6)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
33,Cheboygan County,***,"200.9 (174.0, 231.7)","32 (3, 79)",44,falling,"-0.9 (-1.6, -0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
34,Newaygo County,***,"200.5 (178.7, 224.4)","33 (5, 74)",66,falling,"-1.1 (-1.8, -0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
35,St. Joseph County,***,"200.4 (179.9, 222.7)","34 (6, 75)",73,falling,"-1.7 (-2.2, -1.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
36,Delta County,***,"199.9 (176.8, 225.7)","35 (6, 77)",57,falling,"-1.3 (-1.9, -0.7)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
37,Oceana County,***,"199.7 (171.1, 232.2)","36 (3, 80)",37,falling,"-1.0 (-1.6, -0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
38,Lake County,***,"199.2 (161.6, 245.3)","37 (1, 83)",23,falling,"-2.7 (-3.4, -2.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
39,Macomb County,***,"198.9 (193.2, 204.7)","38 (23, 56)",968,falling,"-1.4 (-1.6, -1.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
40,Allegan County,***,"198.5 (182.8, 215.1)","39 (11, 70)",129,falling,"-1.3 (-1.7, -0.8)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
41,Gratiot County,***,"197.6 (172.7, 225.2)","40 (4, 80)",47,falling,"-0.9 (-1.6, -0.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
42,Iosco County,***,"197.0 (172.2, 225.7)","41 (5, 80)",48,falling,"-1.6 (-2.4, -0.9)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
43,Houghton County,***,"196.9 (170.8, 226.2)","42 (4, 81)",43,falling,"-1.2 (-1.7, -0.7)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
44,Berrien County,***,"196.6 (184.2, 209.6)","43 (16, 68)",196,falling,"-1.5 (-1.9, -1.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
45,Huron County,***,"196.3 (172.0, 223.7)","44 (6, 81)",50,falling,"-0.9 (-1.4, -0.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
46,Arenac County,***,"196.1 (162.0, 236.9)","45 (2, 82)",26,falling,"-1.5 (-2.3, -0.7)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
47,Genesee County,***,"196.0 (187.9, 204.4)","46 (23, 64)",465,falling,"-1.5 (-1.7, -1.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
48,Tuscola County,***,"195.4 (174.9, 217.8)","47 (8, 77)",71,falling,"-1.1 (-1.8, -0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
49,Mason County,***,"194.8 (167.9, 225.3)","48 (5, 81)",41,falling,"-1.3 (-2.1, -0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
50,Presque Isle County,***,"194.7 (157.0, 241.0)","49 (2, 83)",24,falling,"-1.0 (-1.8, -0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
51,St. Clair County,***,"194.4 (182.0, 207.6)","50 (17, 70)",194,stable,"-6.7 (-12.9, 0.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
52,Menominee County,***,"194.3 (167.0, 225.7)","51 (3, 81)",38,falling,"-1.3 (-2.0, -0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
53,Barry County,***,"193.3 (173.2, 215.3)","52 (9, 78)",73,falling,"-0.9 (-1.5, -0.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
54,Antrim County,***,"192.7 (165.9, 223.7)","53 (5, 81)",40,falling,"-1.5 (-2.2, -0.9)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
55,Shiawassee County,***,"192.7 (173.7, 213.3)","54 (11, 77)",80,falling,"-1.4 (-2.0, -0.8)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
56,Dickinson County,***,"191.7 (164.9, 222.5)","55 (5, 81)",38,falling,"-1.2 (-1.8, -0.6)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
57,Oscoda County,***,"191.6 (149.0, 246.4)","56 (1, 83)",15,stable,"-1.2 (-2.4, 0.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
58,Cass County,***,"191.4 (171.2, 213.7)","57 (11, 79)",71,falling,"-3.3 (-5.3, -1.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
59,Ingham County,***,"191.0 (180.0, 202.5)","58 (23, 70)",242,falling,"-1.5 (-1.9, -1.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
60,Saginaw County,***,"190.5 (179.3, 202.2)","59 (24, 71)",227,falling,"-1.7 (-2.1, -1.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
61,Chippewa County,***,"189.9 (165.7, 216.7)","60 (7, 82)",46,falling,"-1.2 (-1.9, -0.6)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
62,Eaton County,***,"189.8 (174.6, 206.0)","61 (17, 75)",123,falling,"-1.0 (-1.6, -0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
63,Ionia County,***,"188.3 (167.5, 211.0)","62 (12, 80)",65,falling,"-1.3 (-1.9, -0.8)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
64,Isabella County,***,"188.1 (165.6, 212.6)","63 (10, 81)",54,falling,"-1.8 (-2.4, -1.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
65,Kent County,***,"184.7 (177.6, 191.9)","64 (41, 71)",554,falling,"-1.4 (-1.6, -1.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
66,Emmet County,***,"183.4 (159.4, 210.5)","65 (11, 82)",45,falling,"-1.5 (-2.2, -0.8)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
67,Iron County,***,"183.1 (146.3, 229.2)","66 (3, 83)",20,falling,"-1.8 (-2.6, -0.9)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
68,Otsego County,***,"181.9 (153.8, 214.1)","67 (9, 83)",31,falling,"-1.4 (-2.4, -0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
69,Marquette County,***,"179.2 (161.5, 198.5)","68 (22, 81)",79,falling,"-1.0 (-1.5, -0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
70,Kalamazoo County,***,"178.4 (167.9, 189.4)","69 (44, 78)",227,falling,"-1.6 (-1.9, -1.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
71,Ontonagon County,***,"178.1 (135.6, 241.3)","70 (3, 83)",13,falling,"-1.7 (-3.0, -0.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
72,Gogebic County,***,"175.7 (144.7, 212.9)","71 (8, 83)",23,falling,"-1.6 (-2.4, -0.8)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
73,Livingston County,***,"167.4 (156.2, 179.2)","72 (57, 82)",185,falling,"-2.1 (-2.5, -1.7)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
74,Charlevoix County,***,"167.3 (141.7, 196.8)","73 (23, 83)",33,falling,"-2.0 (-2.8, -1.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
75,Oakland County,***,"166.7 (162.3, 171.2)","74 (65, 80)",1144,falling,"-1.8 (-1.9, -1.6)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
76,Ottawa County,***,"165.3 (155.9, 175.2)","75 (61, 82)",237,falling,"-1.3 (-1.6, -1.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
77,Midland County,***,"165.3 (149.7, 182.1)","76 (48, 83)",86,falling,"-3.3 (-4.5, -2.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
78,Clinton County,***,"165.2 (148.2, 183.7)","77 (46, 83)",73,falling,"-1.6 (-2.2, -1.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
79,Benzie County,***,"163.9 (134.5, 199.1)","78 (19, 83)",24,falling,"-1.5 (-2.6, -0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
80,Missaukee County,***,"161.1 (128.7, 200.1)","79 (15, 83)",18,stable,"-1.4 (-2.8, 0.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
81,Washtenaw County,***,"160.7 (151.9, 169.9)","80 (65, 83)",265,falling,"-1.8 (-2.1, -1.6)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
82,Grand Traverse County,***,"155.7 (141.2, 171.3)","81 (63, 83)",90,falling,"-2.0 (-2.5, -1.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
83,Leelanau County,***,"143.7 (119.4, 172.8)","82 (55, 83)",30,falling,"-1.2 (-1.9, -0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
84,Keweenaw County,***,"134.9 (67.2, 267.1)","83 (1, 83)",3,falling,"-3.1 (-5.4, -0.7)",Michigan,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
0,Michigan,***,"141.7 (140.4, 142.9)",,9966,falling,"-1.3 (-1.5, -1.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
1,United States,***,"131.1 (130.9, 131.3)",,283394,falling,"-1.9 (-2.1, -1.6)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
2,Roscommon County,***,"182.0 (156.1, 212.4)","1 (1, 49)",45,stable,"0.1 (-0.7, 1.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
3,Lake County,***,"177.4 (140.5, 223.6)","2 (1, 76)",20,stable,"-1.1 (-2.2, 0.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
4,Clare County,***,"176.4 (152.4, 203.5)","3 (1, 57)",44,stable,"-0.3 (-1.0, 0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
5,Montmorency County,***,"171.3 (128.5, 227.3)","4 (1, 81)",15,stable,"-0.3 (-1.5, 1.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
6,Alger County,***,"171.1 (127.8, 228.1)","5 (1, 81)",13,stable,"-0.2 (-1.4, 1.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
7,Sanilac County,***,"170.2 (149.9, 193.0)","6 (1, 53)",55,stable,"-6.6 (-16.2, 4.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
8,Baraga County,***,"163.7 (120.1, 221.1)","7 (1, 82)",11,stable,"0.6 (-0.9, 2.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
9,Luce County,***,"160.6 (110.1, 231.7)","8 (1, 82)",8,stable,"-0.7 (-2.4, 1.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
10,Chippewa County,***,"159.4 (137.4, 184.3)","9 (1, 73)",40,stable,"-0.1 (-0.7, 0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
11,Cass County,***,"158.5 (140.7, 178.2)","10 (1, 64)",62,falling,"-0.7 (-1.3, -0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
12,Alpena County,***,"158.2 (136.9, 182.8)","11 (1, 73)",43,stable,"-0.7 (-1.4, 0.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
13,Ionia County,***,"157.8 (140.0, 177.3)","12 (1, 68)",59,falling,"-0.8 (-1.4, -0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
14,Delta County,***,"157.6 (137.8, 180.1)","13 (1, 72)",52,falling,"-0.8 (-1.5, -0.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
15,Kalkaska County,***,"157.4 (127.1, 193.6)","14 (1, 81)",20,stable,"-0.2 (-1.2, 0.8)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
16,Genesee County,***,"157.3 (150.8, 164.1)","15 (6, 40)",466,falling,"-1.2 (-1.6, -0.8)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
17,Gratiot County,***,"157.0 (136.0, 180.6)","16 (1, 72)",44,stable,"-0.2 (-0.8, 0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
18,Calhoun County,***,"156.0 (144.7, 168.1)","17 (4, 55)",151,falling,"-0.8 (-1.1, -0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
19,Wayne County,***,"155.3 (152.1, 158.6)","18 (10, 35)",1841,falling,"-1.6 (-2.0, -1.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
20,St. Joseph County,***,"155.1 (138.6, 173.2)","19 (3, 67)",68,falling,"-0.6 (-1.1, -0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
21,St. Clair County,***,"154.2 (144.2, 164.8)","20 (6, 55)",185,falling,"-0.7 (-1.0, -0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
22,Tuscola County,***,"153.7 (136.8, 172.3)","21 (2, 72)",64,stable,"-0.5 (-1.3, 0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
23,Mackinac County,***,"153.5 (118.4, 198.7)","22 (1, 82)",16,falling,"-1.4 (-2.3, -0.6)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
24,Alcona County,***,"153.5 (118.6, 200.4)","23 (1, 82)",18,stable,"-0.6 (-1.5, 0.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
25,Ontonagon County,***,"152.6 (112.1, 216.1)","24 (1, 82)",11,stable,"0.3 (-0.8, 1.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
26,Osceola County,***,"152.3 (127.3, 181.4)","25 (1, 79)",28,stable,"-0.8 (-1.5, 0.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
27,Oscoda County,***,"151.7 (109.0, 208.6)","26 (1, 82)",11,stable,"-1.4 (-2.7, 0.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
28,Jackson County,***,"151.5 (141.2, 162.3)","27 (7, 59)",172,falling,"-0.7 (-1.1, -0.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
29,Shiawassee County,***,"150.9 (135.8, 167.4)","28 (4, 72)",77,falling,"-0.8 (-1.2, -0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
30,Emmet County,***,"150.4 (130.1, 173.5)","29 (3, 77)",44,falling,"-0.7 (-1.4, -0.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
31,Bay County,***,"150.2 (138.1, 163.2)","30 (5, 65)",126,stable,"-0.4 (-0.8, 0.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
32,Charlevoix County,***,"150.2 (127.0, 177.2)","31 (2, 80)",34,stable,"-0.5 (-1.3, 0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
33,Manistee County,***,"149.9 (127.7, 176.2)","32 (2, 79)",35,falling,"-0.6 (-1.2, -0.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
34,Macomb County,***,"149.6 (145.3, 154.1)","33 (17, 48)",951,falling,"-0.7 (-0.8, -0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
35,Lapeer County,***,"149.2 (135.5, 164.0)","34 (6, 69)",92,falling,"-0.6 (-1.1, -0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
36,Iosco County,***,"149.1 (126.9, 175.2)","35 (2, 80)",39,falling,"-1.2 (-1.9, -0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
37,Lenawee County,***,"148.1 (135.5, 161.8)","36 (6, 68)",108,falling,"-0.8 (-1.2, -0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
38,Arenac County,***,"148.1 (119.1, 183.9)","37 (1, 82)",20,falling,"-0.9 (-1.7, -0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
39,Gladwin County,***,"148.0 (124.8, 175.2)","38 (2, 81)",34,falling,"-0.9 (-1.5, -0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
40,Muskegon County,***,"147.7 (137.8, 158.1)","39 (10, 62)",177,falling,"-0.7 (-1.0, -0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
41,Schoolcraft County,***,"147.3 (111.3, 195.8)","40 (1, 82)",12,stable,"-0.6 (-1.8, 0.6)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
42,Oceana County,***,"147.2 (124.3, 173.9)","41 (2, 80)",31,stable,"-1.0 (-2.0, 0.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
43,Iron County,***,"147.1 (114.5, 189.2)","42 (1, 82)",19,stable,"-1.2 (-2.5, 0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
44,Newaygo County,***,"146.9 (128.7, 167.2)","43 (4, 77)",51,falling,"-1.0 (-1.6, -0.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
45,Houghton County,***,"146.4 (124.8, 171.1)","44 (2, 81)",35,falling,"-1.0 (-1.7, -0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
46,Mecosta County,***,"146.3 (126.7, 168.5)","45 (3, 79)",43,stable,"-0.4 (-1.2, 0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
47,Otsego County,***,"145.7 (121.1, 174.5)","46 (1, 81)",27,stable,"-0.7 (-1.5, 0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
48,Van Buren County,***,"144.9 (130.3, 160.8)","47 (7, 75)",76,falling,"-0.8 (-1.4, -0.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
49,Berrien County,***,"144.6 (134.9, 154.8)","48 (13, 67)",180,falling,"-0.8 (-1.2, -0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
50,Ogemaw County,***,"143.8 (119.5, 172.8)","49 (2, 82)",28,falling,"-1.7 (-2.6, -0.9)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
51,Gogebic County,***,"143.2 (114.6, 178.9)","50 (1, 82)",20,stable,"-0.8 (-1.7, 0.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
52,Huron County,***,"142.9 (123.7, 165.2)","51 (5, 81)",44,stable,"-0.6 (-1.2, 0.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
53,Monroe County,***,"141.2 (131.2, 152.0)","52 (17, 72)",155,falling,"-1.1 (-1.4, -0.8)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
54,Branch County,***,"140.4 (121.4, 161.8)","53 (4, 80)",43,stable,"-0.5 (-1.2, 0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
55,Crawford County,***,"140.1 (109.8, 177.9)","54 (1, 82)",17,stable,"-0.6 (-1.5, 0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
56,Saginaw County,***,"138.8 (130.2, 148.0)","55 (24, 72)",209,falling,"-1.0 (-1.3, -0.7)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
57,Eaton County,***,"138.6 (127.1, 150.9)","56 (15, 76)",113,falling,"-0.7 (-1.2, -0.2)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
58,Allegan County,***,"137.9 (126.2, 150.5)","57 (17, 77)",107,falling,"-0.9 (-1.4, -0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
59,Montcalm County,***,"137.7 (122.2, 154.7)","58 (11, 79)",61,falling,"-0.9 (-1.4, -0.4)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
60,Hillsdale County,***,"136.5 (118.9, 156.2)","59 (8, 81)",47,stable,"-0.7 (-1.3, 0.0)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
61,Menominee County,***,"136.3 (114.0, 162.9)","60 (5, 82)",30,stable,"0.3 (-0.8, 1.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
62,Wexford County,***,"136.0 (115.7, 159.3)","61 (6, 82)",34,stable,"-0.2 (-1.2, 0.7)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
63,Isabella County,***,"135.6 (118.7, 154.3)","62 (9, 81)",49,stable,"-0.2 (-1.1, 0.7)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
64,Mason County,***,"134.9 (114.8, 158.1)","63 (7, 82)",35,stable,"-0.8 (-1.7, 0.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
65,Ingham County,***,"134.4 (126.4, 142.9)","64 (34, 76)",222,falling,"-0.9 (-1.2, -0.6)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
66,Marquette County,***,"133.2 (118.2, 149.7)","65 (15, 81)",63,falling,"-1.1 (-1.7, -0.5)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
67,Cheboygan County,***,"132.9 (113.3, 156.3)","66 (9, 82)",35,falling,"-1.2 (-2.0, -0.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
68,Kalamazoo County,***,"131.8 (123.9, 140.2)","67 (37, 77)",217,falling,"-1.0 (-1.4, -0.6)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
69,Livingston County,***,"130.4 (121.5, 139.9)","68 (38, 79)",167,falling,"-1.3 (-1.7, -0.9)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
70,Midland County,***,"128.3 (115.6, 142.1)","69 (30, 82)",81,falling,"-0.9 (-1.4, -0.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
71,Oakland County,***,"127.1 (123.8, 130.6)","70 (58, 77)",1143,falling,"-1.6 (-1.8, -1.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
72,Barry County,***,"126.8 (111.9, 143.4)","71 (28, 82)",55,falling,"-1.2 (-1.9, -0.6)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
73,Missaukee County,***,"126.2 (97.2, 162.2)","72 (4, 82)",14,stable,"-0.3 (-1.2, 0.6)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
74,Washtenaw County,***,"126.2 (119.3, 133.4)","73 (52, 80)",263,falling,"-1.3 (-1.5, -1.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
75,Grand Traverse County,***,"125.1 (113.6, 137.7)","74 (40, 82)",93,falling,"-1.2 (-1.8, -0.7)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
76,Presque Isle County,***,"123.3 (98.2, 156.2)","75 (9, 82)",19,stable,"-1.3 (-2.6, 0.1)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
77,Clinton County,***,"122.7 (109.5, 137.1)","76 (39, 82)",66,falling,"-1.3 (-1.9, -0.7)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
78,Kent County,***,"121.0 (116.0, 126.2)","77 (64, 81)",466,falling,"-3.1 (-5.9, -0.3)",Michigan,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
