Expand,Discipline ,MUA/P ID ,Service Area Name ,Designation Type ,Primary State Name ,County ,Index of Medical Underservice Score ,Status ,Rural Status ,Designation Date ,Update Date 
,Primary Care,02136,Low Inc - Irvington Service Area,MUP Low Income,New Jersey,"Essex County, NJ",39.7,Designated,Non-Rural,04/28/1995,04/28/1995
,Primary Care,02115,Low Inc - Morris Service Area,MUP Low Income,New Jersey,"Morris County, NJ",59.5,Designated,Non-Rural,08/31/1994,08/31/1994
,Primary Care,07440,Low Inc - Wildwood,MUP Low Income,New Jersey,"Cape May County, NJ",57.7,Designated,Non-Rural,10/22/2004,10/22/2004
,Primary Care,06165,Low Inc - City Of Perth Amboy,MUP Other Population Governor’s Exception,New Jersey,"Middlesex County, NJ",0.0,Designated,Non-Rural,11/22/2000,11/22/2000
,Primary Care,07446,Low Inc - Deerfield/millville,MUP Other Population Governor’s Exception,New Jersey,"Cumberland County, NJ",0.0,Designated,Non-Rural,11/18/2004,11/18/2004
,Primary Care,07442,Low Inc - Orange,MUP Other Population Governor’s Exception,New Jersey,"Essex County, NJ",0.0,Designated,Non-Rural,11/04/2004,11/04/2004
,Primary Care,07140,Low Inc - Pemberton/browns Mill,MUP Other Population Governor’s Exception,New Jersey,"Burlington County, NJ",0.0,Designated,Non-Rural,02/11/2002,02/11/2002
,Primary Care,07664,LOW INC-MORRISTOWN,MUP – Low Income Governor’s Exception,New Jersey,"Morris County, NJ",64.5,Designated,Non-Rural,05/27/2008,05/27/2008
,Primary Care,02174,Bernalillo Service Area,Medically Underserved Area,New Mexico,"Bernalillo County, NM",58.5,Designated,Non-Rural,05/05/1994,05/05/1994
,Primary Care,02180,Bernalillo Service Area,Medically Underserved Area,New Mexico,"Bernalillo County, NM",60.5,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,02146,Catron County,Medically Underserved Area,New Mexico,"Catron County, NM",44.9,Designated,Rural,01/22/1993,09/12/2013
,Primary Care,02147,CHAVES County,Medically Underserved Area,New Mexico,"Chaves County, NM",61.1,Designated,Rural,11/01/1978,09/11/2013
,Primary Care,02148,CIBOLA SERVICE AREA,Medically Underserved Area,New Mexico,"Cibola County, NM",51.0,Designated,Rural,12/17/1992,12/17/1992
,Primary Care,07962,Colfax County,Medically Underserved Area,New Mexico,"Colfax County, NM",54.8,Designated,Rural,04/30/2014,04/30/2014
,Primary Care,02149,CURRY SERVICE AREA,Medically Underserved Area,New Mexico,"Curry County, NM",61.2,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,02152,EDDY SERVICE AREA,Medically Underserved Area,New Mexico,"Eddy County, NM",54.2,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,07958,Grant County,Medically Underserved Area,New Mexico,"Grant County, NM",57.3,Designated,Rural,04/09/2014,04/09/2014
,Primary Care,02153,GUADALUPE SERVICE AREA,Medically Underserved Area,New Mexico,"Guadalupe County, NM",59.2,Designated,Rural,01/22/1993,01/22/1993
,Primary Care,02154,HARDING SERVICE AREA,Medically Underserved Area,New Mexico,"Harding County, NM",24.3,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,02155,HIDALGO SERVICE AREA,Medically Underserved Area,New Mexico,"Hidalgo County, NM",52.4,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,02156,LEA SERVICE AREA,Medically Underserved Area,New Mexico,"Lea County, NM",57.4,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,05015,LINCOLN SERVICE AREA,Medically Underserved Area,New Mexico,"Lincoln County, NM",57.0,Designated,Rural,03/30/1999,03/30/1999
,Primary Care,02157,LUNA SERVICE AREA,Medically Underserved Area,New Mexico,"Luna County, NM",49.7,Designated,Rural,01/22/1993,01/22/1993
,Primary Care,02158,MCKINLEY SERVICE AREA,Medically Underserved Area,New Mexico,"McKinley County, NM",37.8,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,02159,MORA SERVICE AREA,Medically Underserved Area,New Mexico,"Mora County, NM",47.3,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,06178,North Santa Fe Service Area,Medically Underserved Area,New Mexico,"Santa Fe County, NM",61.3,Designated,Non-Rural,01/26/2001,01/26/2001
,Primary Care,02183,Otero Service Area,Medically Underserved Area,New Mexico,"Otero County, NM",48.7,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,02177,Penasco Service Area,Medically Underserved Area,New Mexico,"Taos County, NM",56.6,Designated,Rural,06/27/1983,05/05/1994
,Primary Care,02160,QUAY SERVICE AREA,Medically Underserved Area,New Mexico,"Quay County, NM",55.0,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,02161,RIO ARRIBA SERVICE AREA,Medically Underserved Area,New Mexico,"Rio Arriba County, NM",61.6,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,02162,ROOSEVELT SERVICE AREA,Medically Underserved Area,New Mexico,"Roosevelt County, NM",59.3,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,02164,SAN JUAN SERVICE AREA,Medically Underserved Area,New Mexico,"San Juan County, NM",48.2,Designated,Partially Rural,11/01/1978,11/01/1978
,Primary Care,02165,SAN MIGUEL SERVICE AREA,Medically Underserved Area,New Mexico,"San Miguel County, NM",59.9,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,02163,SANDOVAL SERVICE AREA,Medically Underserved Area,New Mexico,"Sandoval County, NM",34.1,Designated,Partially Rural,11/01/1978,11/01/1978
,Primary Care,02175,Santa Fe Service Area,Medically Underserved Area,New Mexico,"Santa Fe County, NM",55.3,Designated,Non-Rural,02/25/1988,05/05/1994
,Primary Care,02167,SIERRA SERVICE AREA,Medically Underserved Area,New Mexico,"Sierra County, NM",18.1,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,02168,SOCORRO SERVICE AREA,Medically Underserved Area,New Mexico,"Socorro County, NM",50.2,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,02172,Springer Service Area,Medically Underserved Area,New Mexico,"Colfax County, NM",54.3,Designated,Rural,05/27/1993,01/31/1994
,Primary Care,07963,Taos County,Medically Underserved Area,New Mexico,"Taos County, NM",61.5,Designated,Rural,04/30/2014,04/30/2014
,Primary Care,02169,TORRANCE SERVICE AREA,Medically Underserved Area,New Mexico,"Torrance County, NM",46.0,Designated,Partially Rural,11/01/1978,11/01/1978
,Primary Care,02173,Tres Piedras Service Area,Medically Underserved Area,New Mexico,"Taos County, NM",61.6,Designated,Rural,05/27/1993,01/31/1994
,Primary Care,02170,UNION SERVICE AREA,Medically Underserved Area,New Mexico,"Union County, NM",42.1,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,02171,VALENCIA SERVICE AREA,Medically Underserved Area,New Mexico,"Valencia County, NM",61.8,Designated,Partially Rural,12/17/1992,12/17/1992
,Primary Care,02150,DEBACA SERVICE AREA,MUA – Governor’s Exception,New Mexico,"De Baca County, NM",0.0,Designated,Rural,09/22/1994,09/22/1994
,Primary Care,02151,DONA ANA SERVICE AREA,MUA – Governor’s Exception,New Mexico,"Dona Ana County, NM",0.0,Designated,Partially Rural,09/09/1994,09/09/1994
,Primary Care,02166,Low Inc - Cerrillos Service Area,MUA – Governor’s Exception,New Mexico,"Santa Fe County, NM",0.0,Designated,Rural,09/22/1994,09/22/1994
,Primary Care,07949,Low Income - Otero County,MUP Low Income,New Mexico,"Otero County, NM",59.6,Designated,Rural,03/07/2014,03/07/2014
,Primary Care,02380,Adams Town Service Area,Medically Underserved Area,New York,"Jefferson County, NY",55.3,Designated,Non-Rural,09/14/1982,05/04/1994
,Primary Care,02371,Albany Service Area,Medically Underserved Area,New York,"Albany County, NY",42.5,Designated,Non-Rural,06/29/1984,05/04/1994
,Primary Care,02419,Albany Service Area,Medically Underserved Area,New York,"Albany County, NY",57.6,Designated,Non-Rural,05/13/1994,05/13/1994
,Primary Care,02381,Alexandria Town Service Area,Medically Underserved Area,New York,"Jefferson County, NY",58.6,Designated,Non-Rural,09/14/1982,05/04/1994
,Primary Care,02372,Allen Town Service Area,Medically Underserved Area,New York,"Allegany County, NY",61.6,Designated,Rural,06/04/1984,05/04/1994
,Primary Care,02408,Arcade Town Service Area,Medically Underserved Area,New York,"Wyoming County, NY",61.7,Designated,Rural,05/04/1994,05/04/1994
,Primary Care,02212,Area 12 Service Area,Medically Underserved Area,New York,"Bronx County, NY",61.1,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02289,Area 14 Service Area,Medically Underserved Area,New York,"Bronx County, NY",49.0,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02288,Area 16 Service Area,Medically Underserved Area,New York,"Bronx County, NY",52.6,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02421,Austerlitz Town - County,Medically Underserved Area,New York,"Columbia County, NY",61.3,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02290,Bathgate Service Area,Medically Underserved Area,New York,"Bronx County, NY",55.1,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02285,Bedford Park Service Area,Medically Underserved Area,New York,"Bronx County, NY",57.0,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02365,Bedford-Stuyvesant Service Area,Medically Underserved Area,New York,"Kings County, NY",44.5,Designated,Non-Rural,07/08/1993,01/31/1994
,Primary Care,02432,Brasher Town - County,Medically Underserved Area,New York,"St. Lawrence County, NY",61.5,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02373,Broome Service Area,Medically Underserved Area,New York,"Broome County, NY",49.0,Designated,Non-Rural,02/25/1988,05/04/1994
,Primary Care,02258,Burnside Service Area,Medically Underserved Area,New York,"Bronx County, NY",58.9,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02396,Castile Town Service Area,Medically Underserved Area,New York,"Wyoming County, NY",61.6,Designated,Rural,06/04/1984,05/04/1994
,Primary Care,02374,Cato Town Service Area,Medically Underserved Area,New York,"Cayuga County, NY",59.2,Designated,Rural,09/14/1982,05/04/1994
,Primary Care,02409,Centerville Town Service Area,Medically Underserved Area,New York,"Allegany County, NY | Cattaraugus County, NY",61.1,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,07685,Chautauqua County MUP - LI,Medically Underserved Area,New York,"Chautauqua County, NY",61.3,Designated,Rural,10/31/2008,10/31/2008
,Primary Care,02402,Chemung Service Area,Medically Underserved Area,New York,"Chemung County, NY",60.8,Designated,Non-Rural,05/04/1994,05/04/1994
,Primary Care,02376,Cincinnatus Town Service Area,Medically Underserved Area,New York,"Cortland County, NY",59.1,Designated,Rural,06/03/1982,05/04/1994
,Primary Care,07612,City of Amsterdam,Medically Underserved Area,New York,"Montgomery County, NY",57.1,Designated,Rural,09/18/2007,09/18/2007
,Primary Care,02337,Clinton Service Area,Medically Underserved Area,New York,"New York County, NY",59.5,Designated,Non-Rural,10/02/1997,10/02/1997
,Primary Care,02422,Colchester Town - County,Medically Underserved Area,New York,"Delaware County, NY",52.8,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02410,Cold Spring Town Service Area,Medically Underserved Area,New York,"Cattaraugus County, NY | Cortland County, NY",56.2,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02357,Crown Heights Service Area,Medically Underserved Area,New York,"Kings County, NY",51.9,Designated,Non-Rural,08/12/1993,01/31/1994
,Primary Care,02391,Dekalb Town Service Area,Medically Underserved Area,New York,"St. Lawrence County, NY",57.0,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02377,Deposit Town Service Area,Medically Underserved Area,New York,"Delaware County, NY",59.0,Designated,Rural,04/09/1981,05/04/1994
,Primary Care,02388,East Harlem Service Area,Medically Underserved Area,New York,"New York County, NY",48.3,Designated,Non-Rural,01/18/1995,12/16/1996
,Primary Care,02364,Edenwald Service Area,Medically Underserved Area,New York,"Bronx County, NY",46.0,Designated,Non-Rural,07/08/1993,01/31/1994
,Primary Care,02426,Erie Service Area,Medically Underserved Area,New York,"Erie County, NY",58.7,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02214,Ferry Point Service Area,Medically Underserved Area,New York,"Bronx County, NY",59.1,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02375,Fleming Town Service Area,Medically Underserved Area,New York,"Cayuga County, NY",61.1,Designated,Rural,09/14/1982,05/04/1994
,Primary Care,02332,Hamilton Service Area,Medically Underserved Area,New York,"Hamilton County, NY",57.0,Designated,Rural,05/25/1984,05/25/1984
,Primary Care,07020,Herkimer  Service Area,Medically Underserved Area,New York,"Herkimer County, NY",57.1,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02198,Highbridge Service Area,Medically Underserved Area,New York,"Bronx County, NY",56.4,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02286,Hudson Service Area,Medically Underserved Area,New York,"Bronx County, NY",56.9,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02213,Hunt's Point Service Area,Medically Underserved Area,New York,"Bronx County, NY",57.2,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02327,Katrona Service Area,Medically Underserved Area,New York,"Bronx County, NY",60.7,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02382,Kings Service Area,Medically Underserved Area,New York,"Kings County, NY",46.9,Designated,Non-Rural,12/04/1996,12/04/1996
,Primary Care,02383,Kings Service Area,Medically Underserved Area,New York,"Kings County, NY",55.4,Designated,Non-Rural,05/19/1981,05/04/1994
,Primary Care,02439,Kings Service Area,Medically Underserved Area,New York,"Kings County, NY",55.3,Designated,Non-Rural,12/03/1996,12/03/1996
,Primary Care,02440,Kings Service Area,Medically Underserved Area,New York,"Kings County, NY",56.6,Designated,Non-Rural,12/04/1996,12/04/1996
,Primary Care,02441,Kings Service Area,Medically Underserved Area,New York,"Kings County, NY",55.1,Designated,Non-Rural,12/04/1996,12/04/1996
,Primary Care,02443,Kings Service Area,Medically Underserved Area,New York,"Kings County, NY",57.2,Designated,Non-Rural,12/04/1996,12/04/1996
,Primary Care,02444,Kings Service Area,Medically Underserved Area,New York,"Kings County, NY",54.4,Designated,Non-Rural,12/04/1996,12/04/1996
,Primary Care,02445,Kings Service Area,Medically Underserved Area,New York,"Kings County, NY",58.5,Designated,Non-Rural,12/04/1996,12/04/1996
,Primary Care,02446,Kings Service Area,Medically Underserved Area,New York,"Kings County, NY",51.0,Designated,Non-Rural,12/04/1996,12/04/1996
,Primary Care,02447,Kings Service Area,Medically Underserved Area,New York,"Kings County, NY",57.5,Designated,Non-Rural,12/04/1996,12/04/1996
,Primary Care,02448,Kings Service Area,Medically Underserved Area,New York,"Kings County, NY",60.0,Designated,Non-Rural,12/04/1996,12/04/1996
,Primary Care,02449,Kings Service Area,Medically Underserved Area,New York,"Kings County, NY",60.5,Designated,Non-Rural,12/03/1996,12/03/1996
,Primary Care,02384,Livingston Service Area,Medically Underserved Area,New York,"Livingston County, NY",61.6,Designated,Rural,06/04/1984,05/04/1994
,Primary Care,02429,Livingston Service Area,Medically Underserved Area,New York,"Livingston County, NY",51.6,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02423,Middle Town - County,Medically Underserved Area,New York,"Delaware County, NY",61.1,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02393,Minerva Town Service Area,Medically Underserved Area,New York,"Essex County, NY | Warren County, NY",54.4,Designated,Rural,05/25/1984,05/04/1994
,Primary Care,02417,Monroe Service Area,Medically Underserved Area,New York,"Monroe County, NY",48.0,Designated,Non-Rural,05/13/1994,05/13/1994
,Primary Care,02418,Monroe Service Area,Medically Underserved Area,New York,"Monroe County, NY",53.9,Designated,Non-Rural,08/19/1981,05/13/1994
,Primary Care,02437,Monroe Service Area,Medically Underserved Area,New York,"Monroe County, NY",61.4,Designated,Non-Rural,07/05/1994,07/05/1994
,Primary Care,02196,Morrisania Service Area,Medically Underserved Area,New York,"Bronx County, NY",53.7,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02225,Mott Haven Service Area,Medically Underserved Area,New York,"Bronx County, NY",53.8,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02385,New York Service Area,Medically Underserved Area,New York,"New York County, NY",60.3,Designated,Non-Rural,04/16/1982,05/04/1994
,Primary Care,02386,New York Service Area,Medically Underserved Area,New York,"New York County, NY",61.7,Designated,Non-Rural,04/16/1982,01/02/1997
,Primary Care,02387,New York Service Area,Medically Underserved Area,New York,"New York County, NY",50.6,Designated,Non-Rural,04/16/1982,01/02/1997
,Primary Care,02389,New York Service Area,Medically Underserved Area,New York,"New York County, NY",56.6,Designated,Non-Rural,04/09/1981,05/04/1994
,Primary Care,07476,North Bellport,Medically Underserved Area,New York,"Suffolk County, NY",53.9,Designated,Non-Rural,05/03/2005,05/03/2005
,Primary Care,07402,North Otsego Service Area,Medically Underserved Area,New York,"Otsego County, NY",58.6,Designated,Rural,03/19/2004,03/19/2004
,Primary Care,07814,Northwest Franklin County,Medically Underserved Area,New York,"Franklin County, NY",59.6,Designated,Rural,04/04/2011,04/04/2011
,Primary Care,07454,NW QUEENS,Medically Underserved Area,New York,"Queens County, NY",57.8,Designated,Non-Rural,02/01/2005,02/23/2008
,Primary Care,02411,Oneida Service Area,Medically Underserved Area,New York,"Oneida County, NY",54.6,Designated,Non-Rural,07/05/1994,07/05/1994
,Primary Care,07520,Oneida Service Area,Medically Underserved Area,New York,"Oneida County, NY",58.8,Designated,Rural,07/05/1994,07/05/1994
,Primary Care,07521,Oneida Service Area,Medically Underserved Area,New York,"Oneida County, NY",58.8,Designated,Non-Rural,07/05/1994,07/05/1994
,Primary Care,02412,Onondaga Service Area,Medically Underserved Area,New York,"Onondaga County, NY",55.7,Designated,Non-Rural,07/05/1994,07/05/1994
,Primary Care,02438,Onondaga Service Area,Medically Underserved Area,New York,"Onondaga County, NY",55.6,Designated,Rural,04/11/1978,07/05/1994
,Primary Care,02415,Oppenheim Town - County,Medically Underserved Area,New York,"Fulton County, NY",60.4,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02397,Orange Service Area,Medically Underserved Area,New York,"Orange County, NY",55.5,Designated,Non-Rural,05/04/1994,05/04/1994
,Primary Care,02338,ORLEANS SERVICE AREA,Medically Underserved Area,New York,"Orleans County, NY",60.5,Designated,Partially Rural,03/25/1982,03/25/1982
,Primary Care,02339,Oswego Service Area,Medically Underserved Area,New York,"Oswego County, NY",55.6,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02435,Ovid Town - County,Medically Underserved Area,New York,"Seneca County, NY",61.5,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02264,Pelham Service Area,Medically Underserved Area,New York,"Bronx County, NY",55.3,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02433,Pierrepont Town - County,Medically Underserved Area,New York,"St. Lawrence County, NY",61.2,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02431,Plainfield Town - County,Medically Underserved Area,New York,"Otsego County, NY",58.5,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02436,Plattekill Town - County,Medically Underserved Area,New York,"Ulster County, NY",58.8,Designated,Non-Rural,05/07/1981,05/13/1994
,Primary Care,02345,Queens Service Area,Medically Underserved Area,New York,"Queens County, NY",57.4,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02347,Queens Service Area,Medically Underserved Area,New York,"Queens County, NY",56.9,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02351,Queens Service Area,Medically Underserved Area,New York,"Queens County, NY",60.6,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02398,Queens Service Area,Medically Underserved Area,New York,"Queens County, NY",50.4,Designated,Non-Rural,05/04/1994,05/04/1994
,Primary Care,02413,Rensselaer Service Area,Medically Underserved Area,New York,"Rensselaer County, NY",60.3,Designated,Non-Rural,07/05/1994,07/05/1994
,Primary Care,02405,Richmond Service Area,Medically Underserved Area,New York,"Richmond County, NY",61.3,Designated,Non-Rural,05/04/1994,05/04/1994
,Primary Care,02406,Richmond Service Area,Medically Underserved Area,New York,"Richmond County, NY",56.6,Designated,Non-Rural,05/04/1994,05/04/1994
,Primary Care,02355,SCHUYLER SERVICE AREA,Medically Underserved Area,New York,"Schuyler County, NY",61.1,Designated,Rural,04/20/1981,04/20/1981
,Primary Care,02368,South East Bronx Service Area,Medically Underserved Area,New York,"Bronx County, NY",49.9,Designated,Non-Rural,06/24/1993,02/02/1994
,Primary Care,02366,South Jamaica Service Area,Medically Underserved Area,New York,"Queens County, NY",58.7,Designated,Non-Rural,07/08/1993,01/31/1994
,Primary Care,02407,Tuscarora Town Service Area,Medically Underserved Area,New York,"Steuben County, NY",59.7,Designated,Rural,05/04/1994,05/04/1994
,Primary Care,02253,Union Port Service Area,Medically Underserved Area,New York,"Bronx County, NY",55.0,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02362,Village of Kiryas Joes Service Area,Medically Underserved Area,New York,"Orange County, NY",45.0,Designated,Non-Rural,07/21/1993,01/31/1994
,Primary Care,02361,Village of New Square Service Area,Medically Underserved Area,New York,"Rockland County, NY",45.5,Designated,Non-Rural,08/03/1993,01/31/1994
,Primary Care,06113,Village of Walden Service Area,Medically Underserved Area,New York,"Orange County, NY",60.8,Designated,Non-Rural,06/29/1999,06/29/1999
,Primary Care,02434,Waddington Town - County,Medically Underserved Area,New York,"St. Lawrence County, NY",61.2,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02403,Washington Heights/Inwood,Medically Underserved Area,New York,"New York County, NY",62.0,Designated,Non-Rural,11/01/1978,05/24/2001
,Primary Care,02428,Watson Town - County,Medically Underserved Area,New York,"Lewis County, NY",61.8,Designated,Rural,05/13/1994,05/13/1994
,Primary Care,02390,West Central Harlem Service Area,Medically Underserved Area,New York,"New York County, NY",48.8,Designated,Non-Rural,04/08/1994,12/16/1996
,Primary Care,02394,Westchester Service Area,Medically Underserved Area,New York,"Westchester County, NY",41.2,Designated,Non-Rural,10/07/1988,05/04/1994
,Primary Care,02395,Westchester Service Area,Medically Underserved Area,New York,"Westchester County, NY",54.0,Designated,Non-Rural,04/06/1978,07/05/1994
,Primary Care,02399,Westchester Service Area,Medically Underserved Area,New York,"Westchester County, NY",61.6,Designated,Non-Rural,07/05/1994,07/05/1994
,Primary Care,02400,Westchester Service Area,Medically Underserved Area,New York,"Westchester County, NY",58.8,Designated,Non-Rural,05/04/1994,05/04/1994
,Primary Care,1363877255,Western Albany County SA,Medically Underserved Area,New York,"Albany County, NY",60.7,Designated,Non-Rural,10/02/2019,10/02/2019
,Primary Care,02363,Williamsbridge Service Area,Medically Underserved Area,New York,"Bronx County, NY",53.5,Designated,Non-Rural,07/08/1993,01/31/1994
,Primary Care,02369,Decatur Town Governor Service Area,MUA – Governor’s Exception,New York,"Otsego County, NY",0.0,Designated,Rural,08/05/1992,02/03/1994
,Primary Care,06211,Homebound Population - Schenectady,MUA – Governor’s Exception,New York,"Schenectady County, NY",68.7,Designated,Non-Rural,05/03/2001,05/03/2001
,Primary Care,02367,Med Elig/Med Ind/Hispanic - Beacon Service Area,MUA – Governor’s Exception,New York,"Dutchess County, NY",0.0,Designated,Non-Rural,07/06/1993,01/31/1994
,Primary Care,02430,Nassau Governor Service Area,MUA – Governor’s Exception,New York,"Nassau County, NY",0.0,Designated,Non-Rural,05/13/1994,09/19/1994
,Primary Care,07296,Low Inc - Cambridge,MUP Low Income,New York,"Rensselaer County, NY | Washington County, NY",58.2,Designated,Non-Rural,02/11/2003,02/11/2003
,Primary Care,06121,Low Inc - East Central Essex Service,MUP Low Income,New York,"Essex County, NY",0.0,Designated,Rural,10/08/1999,10/08/1999
,Primary Care,07534,Low Inc - Haverstraw,MUP Low Income,New York,"Rockland County, NY",61.6,Designated,Non-Rural,07/27/2006,07/27/2006
,Primary Care,07018,Low Inc - Middletown Service Area,MUP Low Income,New York,"Orange County, NY",58.2,Designated,Non-Rural,04/08/1994,07/13/1994
,Primary Care,07424,Low Inc - Monticello,MUP Low Income,New York,"Sullivan County, NY",61.4,Designated,Rural,06/24/2004,06/24/2004
,Primary Care,02420,Low Inc - Moravia PCAA,MUP Low Income,New York,"Cayuga County, NY | Tompkins County, NY",50.6,Designated,Rural,05/13/1994,09/28/1994
,Primary Care,02404,Low Inc-Niagara Falls City,MUP Low Income,New York,"Niagara County, NY",56.5,Designated,Non-Rural,05/04/1994,06/19/2009
,Primary Care,07223,Low Inc-wawarsing/ Fallsburg S A,MUP Low Income,New York,"Sullivan County, NY | Ulster County, NY",61.8,Designated,Rural,06/18/2002,06/18/2002
,Primary Care,06221,Low Income - Poughkeepsie,MUP Low Income,New York,"Dutchess County, NY",59.2,Designated,Non-Rural,05/25/2001,05/25/2001
,Primary Care,07761,Low Income-Riverhead,MUP Low Income,New York,"Suffolk County, NY",59.6,Designated,Non-Rural,09/21/2010,09/21/2010
,Primary Care,07214,Low-inc - Western Sullivan Service Area,MUP Low Income,New York,"Sullivan County, NY",59.3,Designated,Rural,05/31/2002,05/31/2002
,Primary Care,06167,Low-Income Population - City of Troy,MUP Low Income,New York,"Rensselaer County, NY",60.1,Designated,Non-Rural,11/24/2000,11/24/2000
,Primary Care,06129,MFW of Finger Lakes,MUP Low Income,New York,"Ontario County, NY | Wayne County, NY",44.9,Designated,Partially Rural,02/13/2000,02/13/2000
,Primary Care,06210,MSFW - East Dutchess,MUP Low Income,New York,"Dutchess County, NY",44.8,Designated,Non-Rural,04/16/2001,04/16/2001
,Primary Care,1366718011,Corona Service Area,MUP Medicaid Eligible,New York,"Queens County, NY",57.0,Designated,Non-Rural,01/11/2016,01/11/2016
,Primary Care,1369196970,ME-Buffalo Service Area,MUP Medicaid Eligible,New York,"Erie County, NY",54.5,Designated,Non-Rural,06/05/2017,06/05/2017
,Primary Care,07854,Medicaid Eligible - Columbia-Greene Service Area,MUP Medicaid Eligible,New York,"Columbia County, NY | Greene County, NY",61.3,Designated,Rural,03/04/2012,03/14/2012
,Primary Care,07779,Medicaid Eligible-Borough Park,MUP Medicaid Eligible,New York,"Kings County, NY",60.1,Designated,Non-Rural,12/06/2010,12/06/2010
,Primary Care,02358,Hudson Headwaters PCAA (5008),MUP Other Population Governor’s Exception,New York,"Essex County, NY | Warren County, NY | Washington County, NY",0.0,Designated,Rural,08/12/1993,01/31/1994
,Primary Care,07310,Low Inc - Mount Kisco,MUP Other Population Governor’s Exception,New York,"Westchester County, NY",0.0,Designated,Non-Rural,02/28/2003,02/28/2003
,Primary Care,02370,Med Elig/Med Ind/Hisp - Port Chester,MUP Other Population Governor’s Exception,New York,"Westchester County, NY",0.0,Designated,Non-Rural,04/08/1993,02/03/1994
,Primary Care,02541,Alamance Service Area,Medically Underserved Area,North Carolina,"Alamance County, NC",53.6,Designated,Non-Rural,05/12/1994,05/12/1994
,Primary Care,02450,ALEXANDER SERVICE AREA,Medically Underserved Area,North Carolina,"Alexander County, NC",52.0,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,02451,ALLEGHANY SERVICE AREA,Medically Underserved Area,North Carolina,"Alleghany County, NC",50.5,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,02525,Almond Service Area,Medically Underserved Area,North Carolina,"Stanly County, NC",59.6,Designated,Rural,05/04/1994,05/04/1994
,Primary Care,02452,ANSON SERVICE AREA,Medically Underserved Area,North Carolina,"Anson County, NC",59.5,Designated,Partially Rural,11/01/1978,10/23/2000
,Primary Care,02453,ASHE SERVICE AREA,Medically Underserved Area,North Carolina,"Ashe County, NC",57.0,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,07785,Avery County,Medically Underserved Area,North Carolina,"Avery County, NC",61.6,Designated,Rural,01/04/2011,01/04/2011
,Primary Care,02554,Barkers Creek Service Area,Medically Underserved Area,North Carolina,"Jackson County, NC",47.2,Designated,Rural,05/12/1994,05/12/1994
